"RegionName","StateName","RegionType","CBSA Title","MSAstate","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10"
"United States",,"Country",,,1,140,143,143.25,136.25,122.75,112.75,108.75,108.25,111.25,115.25,118.5,122.25,126.75,129.25,128,123.25,116.5,112.25,112.25,114.75,118.75,122.25,124.5,127.25,129.75,130.25,127,118,108.5,105,106.25,109.25,112.25,114,115.75,119.5,123.75,124.25,117.5,105.75,96.5,92.5,91.5,92.25,94,96.25,99,103.75,110,112.75,107.375,96.25,87.875,85.25,86.5,90.25,94.5,98
"Alaska","AK","State",,,47,129.5,143.625,140,115.75,96.625,89.25,84.875,88.625,95.5,99.75,105,115.625,131.75,138.5,123.75,104.375,98.5,94.625,88.25,90.5,94.5,98.875,112.25,121.625,122.75,126.75,123.5,106.75,89.25,79.5,77.75,82.75,91,98,107.125,122.25,133.125,129,111.5,89.25,76.5,75.125,76.75,79.875,84.25,90.75,103,114.625,119.25,114.875,96.5,77.25,70.25,70.75,73.5,75.5,78.75,86
"Alabama","AL","State",,,23,165,165.375,170.5,173.5,159,127.5,104.125,99.625,108.125,122.25,137.25,148.125,152.25,150.375,140.75,127.875,120.25,123.375,133.5,141.5,142.5,140.25,139.625,138.5,139.125,144.25,146,143,138,130,125.75,130.5,138.5,142.25,143.75,145.125,145,144.5,143.75,139.125,128.75,120.5,118,118,120.5,125.75,130.25,134.25,142.75,148.5,147.25,139,123,114.75,117.25,120.75,125.5,131
"Arkansas","AR","State",,,31,127.5,132.25,138.625,141.375,135.125,121.5,108.25,105,111.5,120.875,131.75,138.875,139.625,136.75,126.875,116.5,114.125,116,119.125,122.875,129.5,135.125,136.75,144.25,156.625,161.375,154.875,145.375,133.75,120.25,116.75,122,127.5,130,133.5,141.5,147.75,149.75,144.25,129.25,114.5,107.75,106.5,106,107.75,112.75,117.5,125,133.25,134.75,128.25,118.75,110.75,103.5,102.75,110,115.25,114
"Arizona","AZ","State",,,14,112,117.5,120,116,108.25,101,95.75,95.75,97.75,97,97.25,102.25,108,109.5,105.75,99.5,95.5,93.25,91,89.75,89.75,90.25,91.25,93.25,95.75,95.5,90.5,86,85.25,84.75,83,81.75,82.625,84,85.375,89.25,92.5,91.5,87.5,82.25,77,73.75,73.25,73.5,73.75,74.5,76.375,81.25,88.875,92.5,88.75,84.5,84.75,87.25,89,89.75,89.75,89
"California","CA","State",,,1,111,114,110.75,102,93.5,89.25,86.75,87.25,91.25,95.25,98.5,102,106,107.5,102.5,94.5,91.25,92.75,94.5,95.25,96.75,99.25,101.5,104.25,106.25,104.75,98.5,89.75,84.5,83.25,83,83.5,83.75,82.75,82.75,85.75,88,83.25,73.5,66,63,62.5,62,61.5,62.25,64.25,67.5,72.75,77.25,74.25,66,61.5,61.5,62.5,63.5,65.25,68,71
"Colorado","CO","State",,,22,133,140.25,137.5,124,109.5,103.5,102,102.75,107.25,111.125,112,113.875,119,123.5,124.25,118,108.25,102.25,100,101.25,105.25,110,114.25,116.75,117.5,115.125,106.5,93.375,84,81,81,82.25,84,86.25,88.25,92.25,97.25,94.5,83.25,72.5,66.75,64,63.25,65,68.25,72.25,77,82.25,87.25,86,75.5,64.25,59,58,58.5,60.25,63,66
"Connecticut","CT","State",,,29,166,166.75,169.25,165,147.25,126.625,118.75,121.125,126.75,130.75,134.25,138.5,142.25,148.5,153.75,149.625,133.5,117.875,115.25,122.5,133.75,145.75,155.75,163.5,172,177,175.25,166.25,145.5,128.25,127,132.5,139,146,153.25,158.875,163.25,169.125,170,153,125.75,110.5,107.75,109,115.25,123.25,127.25,131.5,142,152,153.25,143,122,105.5,104,110.75,118.75,126
"District of Columbia","DC","State",,,48,120,140.625,146.875,139.375,117,97,94.25,98,102.75,101.125,91.25,94.125,109.75,119.5,119.75,108,91.125,84.25,86.625,94.75,104,107,102,102.75,115,114.75,98.375,85,79.875,80,82.75,86.75,87.5,82.25,80,86.25,92.25,88,75,63.5,59,59.75,60.75,61.5,63.25,62.5,63,70.625,80.625,81.375,71,61.5,57.625,57.5,60,62.875,62,53
"Delaware","DE","State",,,44,131,158.25,170.625,158.625,136.75,123.125,117,121.25,131.375,137,138.125,136.875,143.875,155.875,157.75,155,147.75,132,124.875,132.25,143.75,152.25,154.625,156.25,160.125,159,150,140.75,131.875,123.375,122.375,125.625,132.25,136.25,128.75,122,129.5,141,142,134.5,120.5,105.75,99.75,102.25,107.75,111,111.75,113.375,118.875,126.875,128.375,120,108.75,100,97.875,102.5,107.75,111.5
"Florida","FL","State",,,3,179,175.75,171.5,169,160.5,144.75,131.25,124.25,123.75,125,124.5,124,125.5,128.5,131.5,135,137.25,137.25,135.5,131.75,129.25,129.25,129.5,129.75,130.25,130.5,129.75,127,124.25,124.5,125.25,125,123.5,119.75,118,119.5,121.5,122.25,120.5,117.25,114,111.75,110.25,108,104.5,102.25,102.75,105.25,109.25,111.75,110.75,108,104.5,102,102.5,103.75,104.25,105
"Georgia","GA","State",,,10,173,171,169.25,162.75,148.25,132.75,123.25,119.75,122.25,127.25,132.5,138.5,143.5,143.5,137.875,131,124.875,123.75,128,131.25,135.5,138.75,137,134.5,131.75,131.5,131.5,124,115.25,113.75,115.5,117,119.5,122,124.5,127.75,130.5,130.25,123.75,112.75,104.25,101.625,102.25,102.375,103,106,109.25,111.75,115.75,118.75,114,103.25,95.5,93.75,95.25,99,103.25,106
"Hawaii","HI","State",,,41,137,160.75,159.25,140.5,116.25,104.25,100.75,95.75,87.75,81.75,83.25,90.5,103.25,113.5,111,105.75,104.25,102.25,102.5,102.25,103.125,109.625,114.375,118.375,125,123.75,116.25,110.5,107.125,106.25,104.125,99.5,98.5,102.5,103.875,104.5,108.125,110.75,107.5,97.875,91.25,88.625,84.75,81,80.5,84,86,85.25,89.25,91.375,85.75,83.125,85.5,86.75,85.25,82.5,82.25,90
"Iowa","IA","State",,,30,148,155.25,160.5,144,117.25,105.125,104.5,106.375,107.625,108.25,111.5,117.75,124.125,132.5,139,136.5,127.75,118.5,115.125,118.75,123.625,124.625,125.75,131.875,139.375,147.375,149.125,135.125,117.25,110,110.25,110.5,111.25,115.75,122.75,132.125,142,147.625,146.5,133.5,112.625,98.25,93.875,94.25,96.25,99.75,104.125,109.25,117.375,128.25,132.25,118.5,97.25,86.75,85.75,88,94,102
"Idaho","ID","State",,,39,143,147,134.25,125.875,120,107.625,101.75,105.25,106.625,103.125,101.375,100.875,100.875,102.125,99.125,93.625,90.25,87.25,84.5,84.75,87.75,92.375,95.25,97.625,100,96.375,89.75,86.375,84.5,78,74.75,81,88.25,92,94.5,97.25,102.5,104.625,92.75,76.75,69.75,69.125,69.5,69.375,71.125,77.625,87.625,97.25,104,103.25,90.75,75.375,68,68.875,75.125,80.375,82.125,85
"Illinois","IL","State",,,6,180,176.25,177.25,176.25,161.5,141,129.5,125.5,128,135.25,143.5,150.25,153,153.25,151.75,148.5,141.75,134,131.25,133.5,138.25,142.75,145.25,147.75,151.25,153,153.75,150,136.75,124.75,122.5,124.5,127.25,130.5,133,136,140,142.5,140,130,116.75,109.5,108.5,108.75,110,111,111.75,115.5,122.5,129,128.25,115.5,100,94.5,97,102,107.75,112
"Indiana","IN","State",,,17,125,128.5,131.75,129.5,122.625,118,116.125,114.75,113.75,117.75,127.5,133.75,133.875,135,136.625,133.5,127.5,123.5,123,126.5,131.5,135.5,142,146.75,144.25,144.25,148.5,140.75,121.75,111.5,115.5,122.75,126,129.5,136.5,140.125,140,141.375,135.75,119,104,99.75,102.75,106.5,108.25,108,111,119,124.25,126.5,126.75,116,99,90.75,91,94.25,98,99
"Kansas","KS","State",,,33,124,128.75,126.625,110.75,94.75,88.25,89,94.25,100.875,108.75,117.75,125,132.5,142.75,145.25,131.75,114,105.5,106.625,111.25,117.25,124.625,129.75,133.375,138.5,144,140.125,122.25,104.25,99,104.375,108.25,109.625,110.75,111.875,118.875,125.75,126.125,121.625,115,105.375,92.5,85.5,88,92.875,97.125,102.625,108.375,115.75,125,121.5,101,83.25,77.5,77.625,81,87.375,92
"Kentucky","KY","State",,,26,125,133.625,142.125,139.875,131,124.25,116.5,112.625,117.375,122.875,124.625,130,137.5,139.125,134.75,122.375,106.875,97.5,95.125,101.75,114.875,123.125,125.625,130.625,136,137.25,133.375,123.125,112.875,108.625,107.75,110,113.5,115.625,119.75,124.375,128.25,131,126.25,114.5,104.25,98,95.25,97.25,100,102.75,108,112.25,117.75,125.5,125.125,113.25,97.875,86.75,85,88.75,91.5,95
"Louisiana","LA","State",,,25,135.5,143.875,142.5,136.25,121.5,104.125,92,90.375,98.5,106.25,108.5,109.5,116,121,121.75,123.75,119.25,108.75,103.25,105.75,112.5,118,122.75,127.5,130,130.5,128,119.5,111.25,108,105.75,108.25,114.75,118.25,123,131.5,138,138.25,132.75,124.25,114.875,108.25,107.625,108.75,106.5,106.25,110.25,113.5,118.25,123.875,122.25,113.5,102,93.875,93,94.5,98.75,108
"Massachusetts","MA","State",,,16,169,170.25,168,157.25,134.75,116,111.25,116.5,125.25,130.5,129.25,129.5,139,151.25,155.25,140.25,113.25,98.75,102,114.25,128.875,137,139.875,147.5,159.375,167.75,163.875,141.5,114,101.5,102.25,107,112.75,115.75,117,124.25,138.5,148.5,139.25,112.75,91.25,84.25,84,87,91.25,92,92,97,107.25,111.75,101.25,87,80.25,79.5,80.75,83.25,83,76
"Maryland","MD","State",,,20,179,182.875,181,175.375,160,134.75,119.75,122.25,129.875,134.75,138.125,142.25,148.25,154.5,156.75,151.75,138.5,126.25,124.75,132,142.25,150.25,153.75,155.75,157,157.5,158,147,126.25,116.25,118,124.5,132.5,138.5,141.25,142.5,147,151.25,147.75,132.25,111.25,99.25,98,101.25,105.25,109.5,112.5,115.5,123.75,131.5,130.375,117.5,100.375,92.5,94.25,101.25,110,117
"Michigan","MI","State",,,8,136.5,139.375,140.75,137.75,129,118.5,109,102,101.25,107.5,115.5,120.25,121,120.5,120,116.25,109,104.5,105,107.25,110.625,113.75,116.625,121.25,123.25,121.75,120.5,115.75,107.75,103,102.75,106.75,112.5,115.75,119,124,127.5,129,125,114.5,105.75,100.75,97.75,98,99.5,100,101.75,107,114,118.5,117.5,109.25,96.25,87.25,86.25,90,95.25,101
"Minnesota","MN","State",,,21,150,157,159.5,154.75,139.75,126,120.75,121.25,125,129.25,133.75,136,138.25,140.75,141,136.25,122.75,110.75,106.75,109,118.25,128,132.75,136.5,138.25,136,136.5,132.5,118.5,109.25,108.75,111,111.5,109.125,108.75,113.125,121.25,130,132.25,122,106.75,97.75,94.5,93.5,94,95.5,98.25,103,110.5,118,115.5,101,89,86.25,87.25,89.75,91.5,89
"Missouri","MO","State",,,18,109,120.125,123,116.125,108.25,104.5,103.5,105.75,109.5,112,115,119.25,124.75,130.5,130.25,122,112.5,106,105,110.5,116.75,119.25,120.5,122.375,123.5,124.125,119.625,108,98.875,97,100.25,105.5,109.5,112.75,114.75,115.5,117.25,116.75,109.875,99.25,91.625,88.75,86.75,86.25,88.75,92.5,97.75,104.625,111.25,115.625,110.75,95.25,84,82.5,84,86.5,90.25,96
"Mississippi","MS","State",,,32,153,142,153.5,165.625,150.25,122.625,112.625,115.75,123.125,130.25,131,130.25,133,139.25,139.75,131.5,129.25,131.75,128,125.875,129,136.75,152,155,154,166,150.625,119.166666666667,104.25,109,121,134.5,136.5,151.25,157.875,142.25,135.125,137.25,138.25,129.625,121.25,115.375,102.75,96.75,110.5,127.5,135,143.25,141.375,132,126.375,121.875,117.75,105.25,91.125,89.625,103.125,120
"Montana","MT","State",,,42,124,127.25,125.5,122.25,119.75,113.875,107,103.375,104.25,110.75,120,127.5,134.5,131.375,117.5,108.375,101.375,92.75,87.625,92.75,103.375,109.25,114.125,118.875,126.25,136.125,131.25,111.625,93.75,84.25,79.75,83.875,95.875,101.75,99.875,104,118.25,124,112.25,94,84.25,84.75,83.875,79.625,81.125,88.5,97,107.75,113.25,110.875,104.5,92,79,71.75,72,78.75,84.5,86
"North Carolina","NC","State",,,9,167,167.75,168.25,162.5,143.75,126.75,122.125,124.75,128.625,131.5,135.75,141.75,146.75,147.25,142,134.75,129.75,128,131.25,138.25,146,152.75,155.5,154.25,154,155.25,153,141,123,115.5,119.25,123.75,127.5,131,135,139,140.5,140.75,136.25,122.25,107.25,101,101,102.75,105.25,107.75,111.75,117.25,123.5,128,122,106.25,94.5,92.75,95.5,99.25,105,112
"North Dakota","ND","State",,,46,117,117.5,135,151.5,134,108.5,98.375,98.75,99.875,103.25,110.125,112.75,116.875,123,122.5,113.75,111.625,109.375,104.875,109,115.5,120.625,121.875,123.75,131.125,136.5,135,121.75,99.5,89.625,90.625,95,99.875,95.125,91.25,97,110.25,131.5,137.75,111.75,84.75,75.25,71.5,71.75,74.75,73.75,74,82.875,94.25,101.375,93.875,75.25,67.375,69.75,70.75,71.5,73,71
"Nebraska","NE","State",,,38,125,133.5,134,119,105.5,100.875,100,102.125,106.75,112.5,112.625,107.5,110.375,121.5,127.25,122.75,108.75,97.75,96.75,98,100.75,107,114.75,123.5,128.75,126.375,120.25,109.125,98.5,97.625,100.75,102.125,103.25,105.25,109.25,116.25,126,135,132,113,93.75,86,83,79.75,80.5,84.5,88.5,95.75,106.25,110.5,101,85,76.25,74,73.5,74.625,76,79
"New Hampshire","NH","State",,,40,129,145.25,156.75,162.25,148.75,124.5,111.125,110.25,110.375,107.25,107.25,115.125,131.5,141.875,140.75,136.25,123.75,110.5,106.5,114.25,128.5,138,144.5,152.75,157.75,156,152.25,141.5,122.25,107.375,106.5,115.875,124.25,129.5,135.375,141,142.375,144,145,131,109.25,97.25,94.25,98.25,106.25,112.625,118.75,126.125,131.5,135.375,140,131.125,106,88.5,86.25,90.5,99.375,112.5
"New Jersey","NJ","State",,,11,179,184,187,187.5,175.25,154.75,141.5,136.75,141,150.25,158,166.5,177,182,181.25,180,169,151,143,148.75,161.75,174,181.75,187.25,194.25,198.5,195.25,189.5,177.25,157.5,146.25,147.75,154.75,163.75,173,182.75,191.5,195,193.5,181,155.75,136.5,130.5,130.5,135.75,142.25,143.25,144.75,151.5,157.75,160.75,156.125,141.25,125.125,118.5,122,129.25,136
"New Mexico","NM","State",,,36,148,146.25,142.25,132.875,121.75,113.375,108.625,111.625,116.125,119.625,125.875,128.625,128.625,132.875,140.25,142.75,135.5,127,121.375,116,119.125,132.5,140,136.75,141.875,153.875,150.875,133.875,115.25,101.25,97,100.5,107,114.75,122.25,128.375,128.5,126.375,124.25,112.25,100.25,99.25,97,98,107.25,112.75,113.125,115.5,123.5,128.25,120.625,108,100,96.5,97,101,107.75,116
"Nevada","NV","State",,,34,104,108,107.5,101.5,92,82,77.25,78.75,81.5,84.25,88.25,92,95.25,96.25,92.75,87.25,83.375,82.5,82.875,84,87.5,92,95,96.25,95.25,92.25,86.625,80,79.875,85.75,92,96.5,97.75,98.5,100.25,104.75,111.75,111,98.5,85.25,81.5,83.125,84.5,87.875,90.5,91.5,95,97.5,98.875,100.5,95.875,88.75,86.25,83.625,80,80.875,84.75,84
"New York","NY","State",,,4,181,188,187.625,183,166.25,145.25,138.5,137.5,140.25,148.25,154,160.25,169.5,176.25,178.5,178,167,149,141.5,144.5,151.75,161.75,170.75,178.5,189,198.75,202.5,200.75,186.25,162.25,148.5,150,157.5,165,174.25,184.75,193.25,199.5,203.75,202.75,184.625,154.5,137.125,137.5,144.625,150.25,153.375,158.75,165.75,171.25,176.25,177.25,162.5,138.25,126.25,129.5,137.75,145
"Ohio","OH","State",,,7,132,145.5,150.5,143,124.25,109.75,105.25,106.5,111.75,119.5,128.5,133.5,131.25,125.75,123,122.5,118.75,114.25,114.375,118,123.125,127.75,129.5,130,131.75,135.5,137.75,131.375,118,108.875,109.5,114,118,122.5,126.5,129,131.75,134.75,132.5,120.5,106,98.5,97,97.25,99,103.625,109.5,114.875,120.5,124,120.5,109.25,96,88.25,86.75,88.5,92.75,99
"Oklahoma","OK","State",,,28,127.5,128.125,130.75,125,112,105.25,103.5,103.25,105.625,108.5,113.375,121.25,127,129.75,131.5,129.625,122.5,114.625,111,110.25,112,118.25,125.75,129.125,130,132.625,131.625,121.25,108.125,102.5,103.5,106.75,110.75,114,117.125,120.75,126.625,130,122.5,108.5,98.5,94.25,91.5,89,89.25,95.25,103.25,108,112,113.5,107,95.25,85.5,81.5,82.25,83.75,85.5,91
"Oregon","OR","State",,,27,149.5,152.375,152.75,140,124,116.5,112.25,111,114,118.5,123.25,128.75,135.25,137.5,133,123.5,113.5,110,111,111.5,113.5,119.25,125.5,127.75,126,124,119.5,108.75,98.25,92.75,90.75,92.25,96.75,103,112.25,123,128.25,125,111.5,91.75,79,75.25,74.25,75,78.25,84,91,100.25,109.25,109.25,96.75,78.75,68.25,67,69.5,74.5,80.25,85
"Pennsylvania","PA","State",,,5,139,147.75,152.5,148.75,133.25,119,114.25,114.25,118.5,124,127.75,133.75,143,150.75,154.25,151,137.75,124,120,123,130,137,142.25,150.5,158.25,161.75,164,157,138,123.25,120.25,122.5,127,132,134.5,138.5,147.75,155.25,154.25,141.25,120,106.75,105.25,107.75,112,115.5,117,120.75,128.25,135,137.5,129.5,111,97.75,96.5,100.75,106.75,113
"Rhode Island","RI","State",,,43,149.5,170.875,170.625,156.375,135.625,122.625,121.75,122.625,128.125,136.875,142.375,147.5,155.75,165.5,169,164.75,149.75,128.75,119.625,127.25,140.875,148.25,154.75,163.5,167.25,170.125,175,165.625,141.25,126.75,125.375,128.5,135.125,140.5,145.25,153.75,163,166.5,163,151,130.25,113.5,106.25,107.25,113,114.5,111.75,116.75,136.25,149.625,148.75,138.875,115.25,95.5,92.5,99.25,111,123
"South Carolina","SC","State",,,24,193,182.75,179.75,172.25,152.75,137.25,133.5,131.875,136,142.75,147,156.125,164.5,166.5,166.25,163.75,156.5,147.75,144,148.75,157.25,160.5,161.25,165.75,172.5,175,170.5,162.5,152.75,144,138.75,138.25,141.75,145.25,147.75,150.5,152.75,154.75,153,141,126,120.5,121.5,122,122.75,125.5,128.25,131,137.25,141.5,140.25,132.5,118.75,110,109.25,111.5,114.5,118
"Tennessee","TN","State",,,15,153,149.375,152.75,152.25,139.25,121.625,110.75,110.25,115,121,130,139,143.25,143.5,142,136.75,127.75,122.25,121.875,124.5,129.375,133,135.25,137.25,137.75,136.5,132,122.5,112.25,108,110.25,113.75,115.875,118.25,122.375,127.25,130,130.125,127,118.125,106.75,100.75,101.5,102.75,102.25,104.25,108.5,112.75,118.25,123.25,122,111.25,98,92,92.5,95.25,99.25,103
"Texas","TX","State",,,2,117,117.5,114.25,105,96.75,95,96,98,102.25,108.25,114,119.25,123.5,124,119.5,112.5,107.25,105,105.25,107.25,110.25,113.25,115.5,117.5,118.5,116.5,107.5,94.25,86.75,85.75,87,89,91.75,95,96.75,98,100.25,97.75,87.25,76.75,71.75,70.25,69.5,69.25,71.5,76.25,80.5,83.75,86.75,83.25,72.5,64.75,62.5,61.75,62.25,64,67.5,74
"Utah","UT","State",,,35,130,132,129.5,124.25,115.25,102.5,95.25,99,102.25,101.75,104.25,107.375,107.25,106.25,106.5,104.875,100.75,98.5,100.75,103.75,105,106.625,106.75,107.125,110.5,110,101.25,89.25,82.25,82.375,86,89.875,96.875,105.5,110.625,115.75,118.625,117.875,109.375,92.625,82.75,79.5,76.25,75.75,77.25,80.625,86,91.875,97.75,100.125,94,81.875,75.5,76.75,77.75,78.5,82,87
"Virginia","VA","State",,,12,129,135.5,135.625,123.25,106.375,96.25,94,95.5,98,102.25,106,111,120.75,126.375,121.5,111.125,101.5,95.75,95,100.25,108.5,114.5,117.75,121.25,126.625,128.75,119.75,103.5,92.625,90.5,93.75,100.25,106.75,109.25,109.5,114.25,120.875,120.75,108.375,89.25,77.5,75.5,76.75,77.25,77.75,80.25,85.25,94,102,100.25,88,75,69.75,71,75.5,81.75,87.25,91
"Vermont","VT","State",,,45,179,212.875,248.25,249.375,202.5,144.875,112.25,97.125,102.75,122.25,135.25,137.75,134.75,142.75,158,167.25,154.125,122.75,110.125,117,125,139.125,163.75,183.375,197.375,201.5,182.25,160.75,147.5,136.25,130.375,131.5,132.625,133.25,142.875,160.25,167.375,170.25,186.625,190.375,162.875,131.875,115.125,111,122.625,136.5,142.875,154.875,171.5,174.375,166.5,162.5,147.625,125.75,118.375,117,120.75,133
"Washington","WA","State",,,13,128.5,137.875,138,126.75,112.25,105.875,106.25,107.625,110.375,114,119.375,126.75,132,132.5,126.5,115,105.75,101.5,100.5,104.5,109.5,112.25,115.75,119.75,123.5,126.25,121.75,108.75,97.75,93.25,91.5,92.75,96.5,100.75,106,113.25,120,117.75,102.25,83.5,73.5,71.25,71.25,73,76.5,81,87.5,97,105,102.75,89.75,76,68.25,66,68.5,73.5,78.25,83
"Wisconsin","WI","State",,,19,172,170.25,172,167.25,149.5,130,120.75,120,125,132.25,137,139.75,144.5,151.5,153.625,149.25,140.875,131.75,127.75,126.25,128.5,136.25,142,146,150,155,160.5,154.25,136,122,119.5,124,129,132,134.5,138.75,144.5,150.75,154.25,143.25,120.5,105.5,101.125,102.25,105.875,110.25,115.5,119.75,125,134.25,140.75,131.25,111.75,99.75,97.5,100.75,106.25,111
"West Virginia","WV","State",,,37,144.5,131.125,152.25,162.125,123.75,103.375,124,145.375,149,138.875,138,147.5,149.75,152.625,160.125,152.875,134.625,120.625,122.5,130.75,127.125,121.375,129.375,152,163.875,151.5,131.125,118.5,118.5,115.5,108.625,118.25,125.875,121.125,129.5,140.75,139.75,151.625,166.5,146.5,114.5,103.75,102.25,103,109.625,113.25,114.875,126,136.25,139.5,150.125,146.625,116.875,97.125,95.25,101,111.25,112
"Wyoming","WY","State",,,49,88,105.5,112.125,100.75,93.25,91.625,87.875,87.5,83.125,84.75,103.75,117.5,116.25,114.625,110.25,94.25,82.125,84.25,88.375,90.75,92.75,92.25,91.5,94.875,99.5,94.125,84.25,79.75,72.625,66.5,69.125,73,76,80.5,82.375,80.75,86.875,92.75,80.5,67.75,67.5,68.5,67.25,67.125,70,72.875,74.5,78.375,83.5,85.625,78.5,66.875,62.25,62.125,63,65.5,69.5,74
