"RegionName","CountyName","StateFullName","City","MSA","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Alabama",,"Alabama",,,27710,27795,28157,28903,29613,30553,31563,31749,31620,31658,31699,31662,31576,32352,33866,34293,33626,32875,32289,32086,32070,31881,31325,30654,30192,29046,26995,25657,25283,25020,24799,24690,24759,24878,24910,24987,25204,25477,25617,25566,25590,25598,25253,24617,23863,23495,23823,24330,24491,24462,24783,25455,26010,26267,26690,27593,28387,28628,28240
"Alaska",,"Alaska",,,2738,2752,2777,2770,2740,2699,2658,2686,2754,2777,2772,2767,2754,2757,2782,2800,2774,2737,2736,2676,2582,2562,2558,2526,2480,2404,2306,2223,2165,2122,2093,2114,2171,2214,2250,2279,2310,2363,2410,2435,2438,2418,2427,2463,2458,2404,2354,2337,2339,2340,2360,2431,2585,2774,2838,2801,2782,2801,2734
"Arizona",,"Arizona",,,44764,45704,47511,48985,49698,50400,51123,51959,53316,54588,55094,55032,55000,56074,57105,56279,55034,54157,52718,50610,48074,45590,43802,42719,41418,37871,33314,30929,30157,29788,29736,29656,29336,28900,28320,27618,27218,27493,28136,28553,28504,28077,28083,28972,30331,31844,32814,32987,33480,34921,36739,38291,39104,39213,39029,38626,38167,37774,37691
"Arkansas",,"Arkansas",,,14590,14492,14395,14291,14310,14653,15095,15292,15297,15341,15509,15737,16174,16817,17291,17416,17175,16867,16849,16959,16911,16652,16362,16161,15893,15559,15320,15181,15188,15262,15345,15514,15654,15773,15917,15978,15971,16015,16141,16356,16689,16913,16724,16382,16420,16762,17077,17266,17325,17289,17325,17606,17896,18021,18222,18526,18709,18745,18587
"California",,"California",,,109197,110663,115645,119768,120944,122422,124771,127382,130846,134470,136489,137359,139008,142939,146962,147445,146341,146072,144927,141638,137215,133109,129418,124979,119637,112179,102405,94465,89406,84634,79677,75299,71206,67248,64233,62361,61331,60102,58588,58263,58000,56386,56071,58180,60427,61945,62793,63167,63708,64818,67246,70776,74062,77149,79055,79257,79721,80702,80571
"Colorado",,"Colorado",,,41022,41215,41926,42732,42499,41967,41812,41985,42791,43392,43342,42982,42505,42715,43052,42277,41375,41039,40527,39169,37099,35501,34599,33808,32939,31538,29642,28147,27357,26614,25880,25635,25732,25728,25430,25133,25139,25163,25008,24884,24731,24582,24682,24905,25119,25525,25778,25502,25113,24774,24938,25985,26987,27261,27073,26937,26758,25987,24326
"Connecticut",,"Connecticut",,,19951,20154,20281,20135,19734,19480,19421,19440,19689,20255,21078,21892,22336,22283,22256,22546,22922,23405,24004,24326,24348,24351,24140,23696,23347,23458,23735,23547,23148,22780,22301,21824,21331,20721,20290,20090,20013,20032,19957,19838,19733,19642,19708,20077,20685,21273,21695,21882,21888,21827,21897,22651,23892,24738,25150,25428,25599,25760,25337
"Delaware",,"Delaware",,,6118,6124,6208,6299,6291,6288,6507,6975,7327,7390,7395,7420,7410,7546,7777,7806,7751,7768,7724,7512,7261,7119,7047,6969,6828,6536,6167,5964,5952,5930,5800,5623,5511,5466,5391,5311,5364,5516,5600,5557,5401,5250,5201,5233,5282,5336,5405,5433,5399,5319,5324,5535,5794,5931,5974,5992,6040,6084,5985
"District of Columbia",,"District of Columbia",,,1832,1836,1876,1910,1889,1876,1844,1793,1878,2025,2084,2082,2068,2086,2107,2095,2115,2156,2154,2112,2039,1960,1892,1799,1703,1639,1575,1491,1416,1354,1306,1250,1135,1022,967,954,961,941,906,904,875,798,778,830,886,914,933,955,957,931,913,931,976,1028,1054,1061,1083,1097,1074
"Florida",,"Florida",,,208217,207423,211221,215719,217094,218256,219608,221014,223969,226277,226965,227263,226409,225523,224033,218928,211578,208227,207487,203145,196800,191338,185059,177126,170342,163524,154196,146679,143729,141168,137981,135567,132163,128233,125489,123839,123615,124571,125082,125145,124544,120965,116729,116611,119393,122738,125583,126937,127629,128662,131885,137554,142535,145286,146366,146200,145366,144393,144002
"Georgia",,"Georgia",,,79267,79329,79820,80647,80767,81284,82045,82012,83071,84304,83882,83389,83395,84796,87470,88566,87881,86850,85797,84638,81095,77512,77777,77134,74211,70997,66677,62562,60129,58388,55771,52338,49974,48588,46692,45611,45537,45006,44167,43575,43017,42196,42487,44510,46962,48558,48393,47715,47567,47317,47505,49116,51158,52513,53492,54190,55024,55488,54556
"Hawaii",,"Hawaii",,,4567,4499,4415,4351,4284,4166,4005,3933,4045,4213,4327,4371,4337,4378,4526,4623,4661,4754,4915,5000,4941,4855,4771,4647,4497,4333,4198,4112,4027,3947,3948,4008,4032,3971,3857,3773,3800,3878,3860,3794,3826,3924,3950,3950,4015,4165,4387,4581,4743,4923,5146,5433,5688,5799,5829,5858,5910,5979,5987
"Idaho",,"Idaho",,,11875,12029,12196,12197,11971,11667,11338,11130,11150,11174,11195,11372,11539,11604,11652,11515,11384,11480,11587,11625,11514,11308,11137,10898,10571,10183,9744,9414,9049,8727,8685,8618,8546,8626,8726,8733,8701,8755,8853,8941,9048,9175,9337,9602,9874,10123,10232,10160,10211,10416,10697,11280,12151,12644,12603,12488,12406,12275,11878
"Illinois",,"Illinois",,,73260,74066,75576,76424,75895,76091,77146,77621,77665,77479,77890,79019,79633,80546,81939,82068,81652,81458,80738,79919,79863,80013,79169,77427,75629,73369,70598,68708,68071,67503,66186,63639,60063,57408,56175,55482,55339,55162,54512,53810,52282,49981,48964,49893,51449,52431,52856,52966,52626,52028,51710,52523,54554,56579,57890,59050,60278,60771,59524
"Indiana",,"Indiana",,,41720,41963,42043,40826,38397,37076,37016,37253,37688,37373,36779,37071,37645,38226,39073,39859,40232,40157,39796,39144,38449,38237,38030,37053,35881,35135,34460,33932,34118,34370,34075,33525,32765,32105,31821,31707,31555,31194,30608,30117,29764,29447,29391,29589,29901,30191,30479,30747,30553,29837,29381,29902,30788,31112,31204,31514,31890,32135,31643
"Iowa",,"Iowa",,,11992,12087,12298,12408,12308,12331,12587,12989,13531,13904,14419,15259,15811,16225,16757,17136,17365,17466,17526,17518,17320,17237,17221,16989,16750,16605,16436,16235,16138,16187,16087,15845,15709,15571,15252,14920,14862,14924,14828,14744,14738,14663,14642,14694,14688,14702,14783,14760,14517,14173,14035,14233,14475,14600,14681,14751,14832,14853,14553
"Kansas",,"Kansas",,,13565,13644,13843,13984,14312,15047,15613,15903,16176,16192,16075,16098,16061,16105,16494,16849,16805,16573,16406,16182,15888,15681,15422,15065,14821,14616,14221,13585,12888,12380,12083,11859,11600,11397,11319,11303,11402,11433,11192,10996,10979,10926,10854,10833,10839,10868,10939,10981,10867,10605,10435,10723,11242,11354,11170,11130,11231,11315,11118
"Kentucky",,"Kentucky",,,19291,19230,19216,19127,18679,18468,18908,19481,19795,19952,20271,20609,20779,21028,21448,21975,22587,23028,23026,22784,22712,22809,22562,21982,21640,21492,21167,20746,20547,20576,20569,20476,20391,20319,20455,20770,20943,21147,21382,21354,21137,20788,20533,20556,20634,20729,20839,20886,20844,20645,20610,21059,21604,21972,22294,22541,22649,22598,22238
"Louisiana",,"Louisiana",,,13547,13607,13648,13675,13667,13939,14411,14572,14552,14453,14239,14304,14678,14912,15077,15226,15216,15196,15202,15100,14915,14831,14826,14649,14183,13693,13229,12728,12464,12315,12076,11952,11900,11761,11595,11457,11515,11769,11921,11911,11857,11750,11630,11659,11815,12003,12188,12251,12139,11997,12090,12548,12928,12921,12860,12842,12806,12800,12693
"Maine",,"Maine",,,9630,9814,9835,9607,9540,9723,9735,9842,10245,10439,10384,10194,9908,9865,10181,10539,10760,10959,11052,11143,11374,11440,11365,11169,10722,10294,9996,9735,9398,9105,9136,8717,7722,7374,7561,8091,9067,9626,9650,9613,9601,9546,9539,9948,10641,11101,11339,11303,11012,10948,11174,11646,12331,12822,13005,13273,13625,13669,13229
"Maryland",,"Maryland",,,31491,31194,31326,31817,31743,31788,32129,32549,33410,33926,34068,34178,34108,34613,34983,34432,34109,33991,33545,32851,32054,31395,30607,29621,28717,27904,27181,26346,25439,24685,23988,23051,21757,20750,20342,20222,20280,20136,19612,19346,19164,18648,18582,19320,20246,20897,21334,21659,21701,21469,21774,22999,24424,25665,26359,26616,26994,27512,27708
"Massachusetts",,"Massachusetts",,,32056,32640,32579,31683,31070,31399,31718,31791,32366,33207,33446,33043,32525,32299,33202,34919,35800,35802,35812,35513,34819,34093,33430,32866,32258,31640,30883,29893,29382,29152,28455,27569,26746,26111,25678,25248,24954,24720,24106,23132,21688,19951,19240,19699,20260,20650,20994,21314,21533,21418,21164,21430,22623,24236,25058,25115,25042,24732,23599
"Michigan",,"Michigan",,,71058,71718,72607,72630,71242,70455,71087,71442,71521,71927,72356,72605,72886,73093,73140,73043,73084,73276,72589,71127,70001,69168,68144,67156,66165,64955,63330,61493,60214,59381,58482,57408,56302,55330,54556,54015,53686,53562,53667,53927,53534,51872,50690,51373,52619,53646,54479,54556,53958,53304,53186,54300,56643,59367,61493,62575,62602,62101,61275
"Minnesota",,"Minnesota",,,24936,25249,26082,26773,26716,26320,26238,26721,27423,28216,29141,29663,29808,30025,30210,30005,30102,30916,31033,30041,28906,28220,27610,26642,25834,25191,24273,23255,22173,21014,20124,19524,19028,18186,17433,17585,17942,17988,17872,17884,17911,17646,17693,18215,18584,18944,19527,19700,19383,19082,19229,20107,21303,22280,23081,23827,24648,25371,24963
"Mississippi",,"Mississippi",,,11706,11631,11590,11609,11559,11672,11997,12194,12419,12648,12661,12628,12657,12774,12916,12985,12908,12659,12433,12273,12033,11808,11579,11327,11237,11269,11108,10765,10625,10650,10526,10305,10126,10097,10298,10498,10554,10593,10732,10893,10991,11087,11222,11422,11618,11645,11624,11707,11624,11306,11176,11400,11648,11708,11724,11825,11950,12054,12029
"Missouri",,"Missouri",,,43995,44966,46871,47685,46557,45379,45126,45152,45131,45002,44839,44960,45089,44838,44610,44742,45164,45617,45693,45342,44744,44017,43125,42005,41050,40395,39467,38241,37206,36388,35623,34863,34229,33855,33627,33631,33882,33695,32834,32183,31968,31550,31241,31508,32044,32627,33203,33629,33727,33475,33475,34227,35473,36683,37358,37617,37713,37644,36968
"Montana",,"Montana",,,4887,4927,5028,5072,4973,4849,4755,4676,4661,4757,5065,5516,5819,5980,6120,6206,6314,6485,6668,6848,6973,6977,6894,6709,6426,6170,5933,5724,5622,5574,5530,5424,5256,5147,4928,4580,4514,4688,4797,4812,4733,4578,4469,4502,4658,4862,5121,5363,5429,5388,5501,5860,6289,6666,6915,7036,7097,7071,6803
"Nebraska",,"Nebraska",,,6579,6749,6692,6600,6577,6534,6506,6551,6735,7053,7344,7166,6667,6649,7061,7287,7353,7390,7336,7212,7037,6825,6612,6593,6692,6548,6276,6102,6012,5884,5670,5538,5500,5429,5367,5444,5573,5580,5497,5405,5323,5415,5725,5910,5909,5919,5938,5958,5990,5914,5822,5895,5988,5936,5815,5781,5815,5810,5698
"Nevada",,"Nevada",,,18797,19014,19184,19045,18816,18865,19455,20329,21809,23596,24290,24270,24369,24713,25643,26665,26805,26487,26251,25821,25359,25021,24324,23115,21890,20665,19089,17592,16847,16406,15641,14656,12788,10324,9251,9339,9332,9286,9242,9116,9076,9028,8908,9077,9761,10707,11291,11365,11328,11455,11776,12190,12494,12663,12850,12986,13337,13867,13994
"New Hampshire",,"New Hampshire",,,9545,9592,9731,9625,9177,8777,8580,8491,8398,8294,8550,9079,9361,9493,9637,9694,9758,9959,10160,10229,10228,10174,9912,9501,9234,9063,8853,8673,8549,8459,8387,8305,8281,8371,8464,8462,8519,8660,8659,8636,8707,8655,8513,8465,8503,8610,8722,8749,8576,8332,8411,8851,9370,9756,10048,10305,10430,10361,9983
"New Jersey",,"New Jersey",,,55632,55780,56668,57150,56484,56072,56468,57627,59332,60363,60753,60882,60806,61086,61915,62826,63163,63672,64383,63765,62302,61678,61311,60276,59188,58285,56998,55679,55209,54534,53250,52245,51329,50225,49354,49078,49145,49124,48547,47551,46792,46264,45878,46113,46806,47463,48160,48844,49338,49505,49974,51438,53036,54093,54930,55703,56426,56949,56166
"New Mexico",,"New Mexico",,,10862,10801,10754,10776,10785,10844,10905,10882,10893,10917,10963,11042,11117,11328,11607,11605,11345,11134,11031,10903,10724,10585,10439,10260,10069,9768,9337,8984,8900,8960,8996,9037,9151,9310,9420,9406,9385,9494,9651,9752,9795,9819,9939,10213,10500,10766,10991,11108,11241,11404,11683,12314,13025,13396,13504,13528,13465,13310,12974
"New York",,"New York",,,62414,63370,64677,64154,62192,61389,61611,62329,63866,65816,67618,68686,69393,69830,70582,72654,74780,76504,78187,78844,78361,77694,77148,76288,74880,73717,72493,70670,69448,68637,67382,66043,65157,64378,63204,62477,62771,63252,63105,62724,62441,61722,61241,61720,62664,63965,65322,66085,66348,66604,67755,70078,72497,74355,75682,76762,77284,76991,75468
"North Carolina",,"North Carolina",,,77573,77826,78139,78662,78923,79554,80091,80197,80813,81047,80748,80695,80266,80577,82577,83646,83390,83250,83142,82446,80795,79106,77535,75825,74558,73284,70981,68576,67102,65516,63374,61838,61554,61697,61611,61489,61556,61339,60474,59774,59396,59076,59621,60918,62180,63523,64502,64750,64932,64872,65027,66437,68118,69400,70392,70550,69563,68175,66326
"North Dakota",,"North Dakota",,,964,998,1034,1051,1049,1053,1063,1051,1019,991,984,1005,1029,1033,1037,1052,1061,1056,1044,1037,1033,1026,1035,1036,1009,973,928,877,843,825,812,797,776,756,745,743,752,758,759,752,747,759,777,802,839,882,908,916,931,955,993,1063,1135,1170,1195,1231,1278,1317,1318
"Ohio",,"Ohio",,,51635,52398,54744,58017,59531,59913,60872,61696,62018,61860,61533,61799,62678,64450,66493,66664,65779,65217,64522,63816,63271,62827,62195,61227,60077,58192,55550,53408,52382,51923,51392,50577,49808,49433,49251,49267,49873,50371,49853,49141,48918,48611,48065,47826,47917,47999,48268,48721,48514,47276,46305,46762,47744,48383,49100,49840,50134,50046,49017
"Oklahoma",,"Oklahoma",,,19449,19618,19963,20136,19870,19588,19622,19937,20426,20786,21104,21672,22160,22311,22449,22442,22131,22115,22508,22604,22290,21991,21605,20756,19768,19244,18816,18390,18477,18519,17951,17370,17114,16952,16826,16817,16949,17008,16933,16886,16776,16570,16466,16463,16456,16506,16537,16547,16622,16609,16630,16976,17345,17457,17532,17657,17676,17559,17373
"Oregon",,"Oregon",,,25098,25445,26373,26857,26426,26069,26077,26033,25865,25662,25603,25609,25555,25722,25972,25724,25098,24632,24201,23373,22548,22281,22129,21786,21346,20421,18929,17691,17281,17124,16715,16420,16302,16073,15772,15539,15541,15586,15497,15578,15687,15499,15474,15969,16499,16744,16773,16611,16394,16307,16633,17480,18319,18853,19200,19273,19123,18843,18166
"Pennsylvania",,"Pennsylvania",,,56464,57402,59602,61386,61627,61777,62502,63457,64434,65034,65919,67385,68366,69088,69808,69703,69109,69094,69501,69052,67925,66957,65808,64422,63121,61716,59838,58022,57304,56855,55673,54736,54522,54581,54348,53971,54499,55368,55422,55039,54751,54487,54405,54857,55626,56413,57222,57791,57736,56966,57055,59448,61967,63087,63989,64724,64695,64344,63419
"Rhode Island",,"Rhode Island",,,5333,5556,5957,6084,5999,6015,6033,5955,5944,6076,6191,6264,6345,6358,6385,6503,6586,6659,6800,6917,6925,6855,6765,6677,6593,6469,6254,6046,5962,5901,5753,5596,5479,5369,5285,5260,5294,5303,5215,5123,5044,4906,4807,4843,4933,5003,5048,5065,5062,5040,5070,5219,5385,5515,5629,5672,5659,5655,5542
"South Carolina",,"South Carolina",,,40693,41118,41436,41368,41168,41423,41514,41138,40793,40282,40087,40459,40380,39971,39988,39943,39594,39388,39754,40194,39968,39519,38832,37807,37227,36864,35984,35037,34522,34106,33564,33072,32785,32684,32681,32714,32676,32593,32573,32510,32433,32374,32354,32559,33051,33702,34215,34571,34934,35186,35619,36780,37899,38172,37937,37752,37852,37935,37529
"South Dakota",,"South Dakota",,,3304,3444,3578,3582,3491,3425,3402,3393,3420,3483,3542,3658,3716,3578,3521,3565,3571,3621,3702,3723,3691,3608,3455,3325,3291,3290,3222,3125,3070,3026,2978,2940,2890,2858,2897,2901,2849,2862,2856,2779,2737,2762,2814,2852,2851,2829,2823,2814,2820,2835,2854,3007,3176,3117,2933,2841,2885,2979,2971
"Tennessee",,"Tennessee",,,49758,49536,49774,50108,50179,51073,52205,52659,53119,53516,53639,53363,53641,55414,56902,57256,57063,56109,55156,54921,54492,53817,53156,52561,51815,50410,48929,47849,47241,46994,46785,46552,46196,45717,45483,45664,45958,45947,45645,45462,45295,44911,44579,44376,44493,44909,45276,45331,44767,44002,44003,44766,45700,46678,47229,47067,46881,46941,46361
"Texas",,"Texas",,,139580,139644,140723,142140,141492,141226,143481,145672,146028,144815,143107,142307,142699,143632,145039,144987,142886,140596,137677,133545,130067,127926,125527,122390,118997,115401,110881,106823,105306,104369,102272,100228,98680,97322,96386,95464,94371,93388,92144,90803,89241,86800,84836,84245,83761,82977,82566,82398,81843,80602,79386,79326,80027,80842,81552,82092,82402,82453,80825
"Utah",,"Utah",,,13394,13276,13469,13806,13905,13849,13647,13696,14128,14343,14501,14852,15176,15636,15983,15820,15404,15105,14885,14363,13707,13335,13031,12611,12129,11455,10608,9887,9517,9351,9227,9169,9069,8922,8768,8524,8352,8346,8358,8461,8634,8707,8892,9306,9686,10001,10240,10284,10292,10445,10920,11703,12385,12828,13051,13054,13037,13022,12754
"Vermont",,"Vermont",,,3342,3386,3455,3448,3377,3389,3476,3536,3552,3561,3599,3642,3701,3774,3797,3787,3797,3844,3882,3866,3843,3847,3845,3837,3847,3855,3844,3837,3848,3836,3810,3833,3917,4034,4162,4277,4371,4417,4394,4339,4330,4371,4415,4514,4695,4904,5064,5135,5157,5256,5572,6081,6555,6871,7162,7415,7498,7465,7324
"Virginia",,"Virginia",,,44722,44436,44640,45400,45504,45698,46185,46516,47294,47728,48002,48527,48557,49053,49741,49336,49020,49151,49001,48579,47704,46664,45432,43842,42530,41349,39904,38548,37502,36520,35515,34518,33558,33060,33000,33135,33527,33739,33508,33318,33152,32855,33005,33739,34719,35869,36803,37111,37097,37205,38065,39927,41758,42905,43601,44073,44431,44389,43311
"Washington",,"Washington",,,41139,42094,44356,45565,44920,44443,44388,44167,43866,43397,42786,42568,42967,43359,43417,43005,42345,41949,41510,40458,39266,38610,38093,37256,35853,33524,30644,28486,27471,26672,25783,25347,25207,24953,24602,24238,24438,24986,24896,24644,24677,24627,24796,25259,25657,26001,26238,26234,26085,26047,26716,28164,29369,29741,29650,29566,29429,28989,27737
"West Virginia",,"West Virginia",,,6729,6644,6629,6693,6618,6437,6216,6037,6065,6112,6085,6141,6226,6304,6316,6260,6233,6214,6269,6351,6237,6130,6207,6150,5991,5925,5856,5687,5530,5527,5598,5637,5669,5688,5643,5586,5597,5668,5724,5750,5801,5845,5876,5963,6126,6291,6419,6588,6714,6716,6839,7243,7716,8032,8176,8234,8310,8399,8341
"Wisconsin",,"Wisconsin",,,33832,34082,34896,35639,35199,34101,33649,33901,34562,35315,36185,37113,37735,38383,39006,39058,39597,41254,42501,42753,42446,41938,41235,40354,39698,39158,38447,37677,37002,36338,35642,34986,34555,34379,34302,34311,34444,34474,34268,34122,33959,33593,33478,33919,34609,35260,35695,35770,35675,35626,35962,37291,38859,39591,39970,40239,40171,39959,38991
"Wyoming",,"Wyoming",,,2082,2071,2080,2121,2102,2051,2050,2081,2133,2184,2228,2276,2310,2418,2613,2713,2763,2872,2965,3004,3027,3039,2993,2914,2884,2850,2725,2616,2593,2587,2596,2635,2652,2654,2669,2682,2692,2699,2677,2637,2610,2602,2653,2750,2806,2816,2832,2872,2898,2890,2954,3139,3290,3315,3190,2985,2885,2903,2892
